StudyID,ParticipantID,Composite pair,Congruent pair,TestID,TrialID,Training,isDesigner,First,Second,Same,Response,Correct,ET,RT,RTnorm,Date,Correctnorm,AUC,AUCnorm
Main,11,False,False,1,12,Letter designer,True,r_AA,r_DD,False,Sure different,1.0,266.7,3264.3333333333335,8.088346721523545,2022-06-05 18:51:07,3.141592653589793,0.0,0.0
Main,11,False,True,1,12,Letter designer,True,q_AA,q_AA,True,Probably different,0.9166666666666666,266.7,4428.666666666667,8.369366216369086,2022-06-05 18:51:07,2.555907110132642,0.0,0.0
Main,11,True,False,1,36,Letter designer,True,z_AD,z_BD,False,Sure different,0.7222222222222222,266.7,3749.3333333333335,8.212698519259968,2022-06-05 18:51:07,2.031350318476219,0.7376344086021506,2.066065862732943
Main,11,True,True,1,12,Letter designer,True,r_AD,r_AD,True,Probably same,0.6666666666666666,266.7,3906.1666666666665,8.265906501874715,2022-06-05 18:51:07,1.9106332362490186,0.0,0.0
Main,12,False,False,1,12,Letter designer,True,e_AA,e_DD,False,Sure different,1.0,227.8,2786.3333333333335,7.929128443100219,2022-06-05 18:31:16,3.141592653589793,0.0,0.0
Main,12,False,True,1,12,Letter designer,True,j_AA,j_AA,True,Sure same,1.0,227.8,2713.75,7.8988684586927,2022-06-05 18:31:16,3.141592653589793,0.0,0.0
Main,12,True,False,1,36,Letter designer,True,c_AD,c_AB,True,Probably same,0.7777777777777778,227.8,2997.472222222222,7.991204852284211,2022-06-05 18:31:16,2.1598272970111707,0.8806451612903226,2.436097099709637
Main,12,True,True,1,12,Letter designer,True,a_AD,a_AD,True,Sure same,0.9166666666666666,227.8,2835.3333333333335,7.925590446272544,2022-06-05 18:31:16,2.555907110132642,0.0,0.0
Main,13,False,False,1,12,Letter designer,True,p_AA,p_DD,False,Sure different,1.0,150.0,2693.9166666666665,7.895472848987507,2022-06-05 18:09:18,3.141592653589793,0.0,0.0
Main,13,False,True,1,12,Letter designer,True,h_AA,h_AA,True,Probably same,0.8333333333333334,150.0,3034.5,8.009310900967408,2022-06-05 18:09:18,2.300523983021863,0.0,0.0
Main,13,True,False,1,36,Letter designer,True,z_BC,z_AD,False,Sure different,0.75,150.0,2887.25,7.957919249035326,2022-06-05 18:09:18,2.0943951023931953,0.8774193548387097,2.426204508531169
Main,13,True,True,1,12,Letter designer,True,z_AD,z_AD,True,Probably different,0.75,150.0,3181.5,8.052688570416207,2022-06-05 18:09:18,2.0943951023931953,0.0,0.0
Main,14,False,False,1,12,Non-designer,False,p_AA,p_DD,False,Sure different,1.0,383.3,3237.6666666666665,8.080852823364879,2022-06-05 16:50:39,3.141592653589793,0.0,0.0
Main,14,False,True,1,12,Non-designer,False,a_AA,a_AA,True,Sure same,0.9166666666666666,383.3,3553.6666666666665,8.165371312505487,2022-06-05 16:50:39,2.555907110132642,0.0,0.0
Main,14,True,False,1,36,Non-designer,False,c_AB,c_AD,True,Probably same,0.6111111111111112,383.3,3564.3611111111113,8.159725442644817,2022-06-05 16:50:39,1.7948894190962676,0.6483870967741936,1.872109206548557
Main,14,True,True,1,12,Non-designer,False,r_AD,r_AD,True,Probably same,0.8333333333333334,383.3,3407.1666666666665,8.123700096595973,2022-06-05 16:50:39,2.300523983021863,0.0,0.0
Main,15,False,False,1,12,Non-designer,False,j_AA,j_DD,False,Sure different,0.9166666666666666,227.8,2833.1666666666665,7.9426071806639476,2022-06-05 16:47:05,2.555907110132642,0.0,0.0
Main,15,False,True,1,12,Non-designer,False,r_AA,r_AA,True,Sure same,1.0,227.8,3130.5833333333335,8.03691476098003,2022-06-05 16:47:05,3.141592653589793,0.0,0.0
Main,15,True,False,1,36,Non-designer,False,q_BC,q_AD,False,Probably same,0.6111111111111112,227.8,3551.3888888888887,8.157847355711503,2022-06-05 16:47:05,1.7948894190962676,0.7043010752688172,1.9917183299828434
Main,15,True,True,1,12,Non-designer,False,r_AD,r_AD,True,Sure same,0.75,227.8,3468.4166666666665,8.135714053611931,2022-06-05 16:47:05,2.0943951023931953,0.0,0.0
Main,16,False,False,1,12,Graphic designer,True,n_AA,n_DD,False,Sure different,1.0,305.6,3476.8333333333335,8.140567530395614,2022-06-05 15:54:05,3.141592653589793,0.0,0.0
Main,16,False,True,1,12,Graphic designer,True,z_AA,z_AA,True,Sure same,0.8333333333333334,305.6,4090.25,8.308116529608418,2022-06-05 15:54:05,2.300523983021863,0.0,0.0
Main,16,True,False,1,36,Graphic designer,True,n_AB,n_AD,True,Sure same,0.75,305.6,3837.8611111111113,8.231242510561179,2022-06-05 15:54:05,2.0943951023931953,0.8655913978494624,2.3908505130984463
Main,16,True,True,1,12,Graphic designer,True,a_AD,a_AD,True,Probably same,0.9166666666666666,305.6,3877.75,8.25508853272732,2022-06-05 15:54:05,2.555907110132642,0.0,0.0
Main,17,False,False,1,12,Non-designer,False,c_AA,c_DD,False,Sure different,1.0,188.9,2889.75,7.9630614804123505,2022-06-05 15:51:33,3.141592653589793,0.0,0.0
Main,17,False,True,1,12,Non-designer,False,r_AA,r_AA,True,Probably different,0.8333333333333334,188.9,3067.6666666666665,8.009555502074699,2022-06-05 15:51:33,2.300523983021863,0.0,0.0
Main,17,True,False,1,36,Non-designer,False,j_AD,j_AB,True,Probably different,0.6111111111111112,188.9,3005.3611111111113,7.992859357595598,2022-06-05 15:51:33,1.7948894190962676,0.7161290322580645,2.0177916969069014
Main,17,True,True,1,12,Non-designer,False,b_AD,b_AD,True,Probably different,0.8333333333333334,188.9,3184.3333333333335,8.051615567882537,2022-06-05 15:51:33,2.300523983021863,0.0,0.0
Main,18,False,False,1,12,Letter designer,True,c_DD,c_AA,False,Sure different,1.0,227.8,3481.3333333333335,8.130108990063803,2022-06-05 15:27:09,3.141592653589793,0.0,0.0
Main,18,False,True,1,12,Letter designer,True,j_AA,j_AA,True,Sure same,1.0,227.8,3058.6666666666665,8.023236992269274,2022-06-05 15:27:09,3.141592653589793,0.0,0.0
Main,18,True,False,1,36,Letter designer,True,h_AB,h_AD,True,Sure same,0.7777777777777778,227.8,3544.5,8.150419589873492,2022-06-05 15:27:09,2.1598272970111707,0.8440860215053763,2.329762942169925
Main,18,True,True,1,12,Letter designer,True,b_AD,b_AD,True,Sure same,1.0,227.8,3294.1666666666665,8.093846148730595,2022-06-05 15:27:09,3.141592653589793,0.0,0.0
Main,19,False,False,1,12,Letter designer,True,e_DD,e_AA,False,Sure different,1.0,305.6,2872.3333333333335,7.961500479954513,2022-06-05 15:02:33,3.141592653589793,0.0,0.0
Main,19,False,True,1,12,Letter designer,True,e_AA,e_AA,True,Probably same,1.0,305.6,3626.9166666666665,8.1175369945152,2022-06-05 15:02:33,3.141592653589793,0.0,0.0
Main,19,True,False,1,36,Letter designer,True,b_BD,b_AD,False,Sure different,0.4722222222222222,305.6,3604.0555555555557,8.148206650775544,2022-06-05 15:02:33,1.515212153513979,0.42365591397849467,1.4175085555714992
Main,19,True,True,1,12,Letter designer,True,h_AD,h_AD,True,Probably different,0.8333333333333334,305.6,3360.0,8.1050954181623,2022-06-05 15:02:33,2.300523983021863,0.0,0.0
Main,20,False,False,1,12,Other designer,True,b_DD,b_AA,False,Sure different,0.8333333333333334,344.4,3384.6666666666665,8.118416113503542,2022-06-05 13:28:58,2.300523983021863,0.0,0.0
Main,20,False,True,1,12,Other designer,True,r_AA,r_AA,True,Probably same,0.6666666666666666,344.4,3500.5,8.151023113546303,2022-06-05 13:28:58,1.9106332362490186,0.0,0.0
Main,20,True,False,1,36,Other designer,True,e_AD,e_BC,False,Sure same,0.7222222222222222,344.4,3670.3611111111113,8.180884257216805,2022-06-05 13:28:58,2.031350318476219,0.8225806451612904,2.2720306913779655
Main,20,True,True,1,12,Other designer,True,h_AD,h_AD,True,Sure same,0.9166666666666666,344.4,4479.0,8.36993475598788,2022-06-05 13:28:58,2.555907110132642,0.0,0.0
Main,21,False,False,1,12,Non-designer,False,p_AA,p_DD,False,Sure same,0.9166666666666666,150.0,2934.8333333333335,7.976682639340833,2022-06-05 12:42:17,2.555907110132642,0.0,0.0
Main,21,False,True,1,12,Non-designer,False,a_AA,a_AA,True,Sure same,0.6666666666666666,150.0,3346.3333333333335,8.078951574833198,2022-06-05 12:42:17,1.9106332362490186,0.0,0.0
Main,21,True,False,1,36,Non-designer,False,e_AD,e_BC,False,Sure same,0.7777777777777778,150.0,3009.277777777778,8.001541855958003,2022-06-05 12:42:17,2.1598272970111707,0.8731182795698924,2.413186824436871
Main,21,True,True,1,12,Non-designer,False,q_AD,q_AD,True,Sure same,0.9166666666666666,150.0,3072.75,7.996061775647232,2022-06-05 12:42:17,2.555907110132642,0.0,0.0
Main,22,False,False,1,12,Non-designer,False,q_DD,q_AA,False,Sure same,0.8333333333333334,461.1,3956.6666666666665,8.258508940802358,2022-06-05 12:37:07,2.300523983021863,0.0,0.0
Main,22,False,True,1,12,Non-designer,False,j_AA,j_AA,True,Sure same,1.0,461.1,3594.5833333333335,8.178906031586228,2022-06-05 12:37:07,3.141592653589793,0.0,0.0
Main,22,True,False,1,36,Non-designer,False,p_AB,p_AD,True,Sure same,0.5833333333333334,461.1,3816.6388888888887,8.229969844965861,2022-06-05 12:37:07,1.738244406014586,0.5924731182795699,1.7568134816294594
Main,22,True,True,1,12,Non-designer,False,r_AD,r_AD,True,Sure same,0.6666666666666666,461.1,4033.3333333333335,8.287946004922711,2022-06-05 12:37:07,1.9106332362490186,0.0,0.0
